site_id,大學畢業比例(%),曾經結婚比例(%),年齡中位數,所得中位數(萬元),vote10,vote11,vote12,vote13,vote14,vote15,vote16,vote7,vote8,vote9,投票權人數
屏東縣琉球鄉,0.1247,0.6973,42,54.2,33.41,30.1,26.27,18.75,9.92,9.72,23.42,30.88,27.67,27.35,4032
屏東縣瑪家鄉,0.1019,0.6425,38.7727,58.3,51.16,46.35,42.91,19.74,15.22,15.54,33.07,42.27,41.43,39.98,3051
屏東縣滿州鄉,0.0951,0.6733,46.0776,52.4,31.22,26.69,23.23,21.04,12.31,13.47,22.36,30.68,29.46,29.49,2767
屏東縣牡丹鄉,0.1127,0.6708,41,59,30.76,28.07,24.15,14.46,12.22,13.21,22.18,31.25,30.25,29,1628
屏東縣南州鄉,0.1557,0.6776,46.05,56.8,38.53,33.35,29.32,28.39,16.8,17.07,26.41,36.7,34.59,34.68,4445
屏東縣內埔鄉,0.1864,0.6563,44.5186,56.2,35.12,32.08,27.95,24.25,13.51,14.25,23.98,33.24,31.31,32.15,20066
屏東縣屏東市,0.2684,0.6363,42,61.3,38.12,35.16,31.52,24.05,15.78,17.26,29.27,38.86,37.13,37.88,83234
屏東縣三地門鄉,0.0968,0.6484,38.5952,57.5,46.51,42.37,39.53,18.19,14.72,15.46,26.86,36.01,34.65,33.17,2901
屏東縣獅子鄉,0.0747,0.6803,40,61.2,50,45.82,42.88,13.19,12.17,12.41,24.28,33.31,32.67,31.82,1696
屏東縣泰武鄉,0.0814,0.6635,37,58.4,50.48,45.28,40.58,18.9,14.53,16.09,32.46,43.62,41.23,40.77,2410
屏東縣萬丹鄉,0.1786,0.6575,41.0014,57,39.19,35.02,31.13,26.65,15.04,16.59,26.72,36.55,34.32,35.23,20547
屏東縣萬巒鄉,0.1528,0.6726,45,55.1,37.99,34.43,28.28,28.16,14.44,15.68,24.95,33.45,31.75,32.61,7901
屏東縣霧臺鄉,0.1203,0.6586,42.2391,57.6,57.42,55.19,53.32,16.17,14.03,14.68,27.9,39.02,37.49,36.51,1452
屏東縣新埤鄉,0.1089,0.692,47.3831,53.3,37.08,31.84,28.33,25.96,13.3,14.4,24.94,34.27,31.88,32.35,4005
屏東縣新園鄉,0.1492,0.6596,42,54.5,37.56,33.55,29.79,28.29,14.33,15.59,26.55,35.41,33.44,33.45,14024
屏東縣鹽埔鄉,0.1455,0.6629,42.5909,53.4,37.76,33.28,28.77,24.85,14.57,15.31,26.99,35.87,33.75,34.29,10204
